category,title,description
IT,,"تعلن شركة تقنية معلومات عن توفر شاغر وظيفي بمسمي مهندس شبكات في مدينة الرياض – مشاريع شبكات حاسب الي.
المتطلبات:
بكالوريوس في الشبكات.
لغة انجليزية جيدة.
الراتب يحدد حسب الخبرة والكفاءة.
للتقديم:
يرجي ارسال السيرة الذاتية الي البريد الالكتروني التالي مع ذكر المسمي الوظيفي في عنوان الرسالة:
HR@dardelta.com.sa"
IT,,"'- تصميم الشبكات (LAN, WAN, WLAN)
- ادارة اجهزة الشبكة مثل المودم، الراوتر، السويتش، الجدار الناري
- متابعة اداء الشبكة وضمان استقرارها
- تامين الشبكة ضد الاختراقات والفيروسات
- ادارة عناوين IP واعدادات DNS وDHCP
- ربط الفروع عبر VPN وتقنيات الاتصال عن بعد
- مراقبة الاعطال واصلاحها بسرعة"
IT,,'- مطلوب رسام اوتوكاد للرسم وقراءة المخططات وحصر الكميات
IT,,"الوصف الوظيفي:
- تطوير وبناء تطبيقات موبايل متكاملة باستخدام Flutter، مع القدرة علي ربط الواجهة الامامية (Front-end) بالواجهة الخلفية (Back-end)، وضمان عمل التطبيق بكفاءة وموثوقية عبر مختلف المنصات (iOS – Android – Web)
المهام والمسووليات:
- تصميم وتطوير تطبيقات باستخدام Flutter مع مراعاة افضل الممارسات في تجربة المستخدم (UI/UX)
- بناء وربط الواجهات الامامية مع خدمات الواجهة الخلفية (APIs / Databases)
- تطوير وادارة قواعد البيانات (مثل MySQL، PostgreSQL، MongoDB او Firebase)
- انشاء وبناء خدمات RESTful APIs او GraphQL
- كتابة اكواد نظيفة وقابلة لاعادة الاستخدام وسهلة الصيانة
- ادارة اصدارات التطبيق (Version Control) باستخدام Git
- اختبار التطبيقات وضمان جودتها وادايها العالي
- حل المشكلات التقنية واصلاح الاخطاء (Debugging & Troubleshooting)
- العمل مع فريق التطوير لضمان تسليم المشاريع ضمن الوقت المحدد
- متابعة اخر التحديثات في تقنيات Flutter وتطبيق افضل الممارسات الحديثة"
IT,,'- مطلوب مبرمج لديه خبرة في في Oracle APEX للعمل بمدينة الرياض
IT,,"'- CCTV Setup: Install and configure CCTV cameras and recording systems, ensuring integration with the company's internal network
- Device Maintenance: Perform preventive and corrective maintenance on a wide range of technical devices, including computers, printers, network devices, and communication systems.
- Technical Support: Provide comprehensive technical support to staff and clients, including troubleshooting issues with all devices and systems and delivering necessary training.
- Documentation: Prepare and update technical documentation related to device setups and maintenance, and document details of issues and solutions provided.
- Updates and Development: Stay updated with the latest developments in IT technology, and recommend improvements and updates to existing systems."
IT,,"'- مطلوب موظف امن سيبراني للعمل لدي شركة رايدة في مجال التقنية بمدينة الرياض
المسووليات:
- ادارة فريق الامن السيبراني
- تقييم المخاطر الامنية وتطوير خطط الاستجابة للحوادث
- تنفيذ سياسات واجراءات الامن السيبراني، والتعامل مع التهديدات الالكترونية المتقدمة"
IT,,'- مطلوب فني تركيب كاميرات مراقبة وانظمة الامان للعمل بمدينة الرياض
IT,,"'- تقديم الدعم الفني للمستخدمين شخصيا او عبر الهاتف او البريد الالكتروني او المحادثات الفورية
- تشخيص وحل المشكلات الفنية المتعلقة بالاجهزة والبرامج والشبكات المحلية (LAN) والشبكات الواسعة (WAN)
- اعداد وتهيية الخوادم وشبكات ال VPN وVLAN وانظمة هواتف ال IP
- تركيب وصيانة وادارة اجهزة المراقبة وكاميرات ال CCTV
- تثبيت وتكوين وتحديث الاجهزة والبرامج واجراء النسخ الاحتياطية الدورية
- متابعة تحديثات الانظمة واصداراتها وتوثيق المشكلات والحلول وفق اجراءات مكتب المساعدة (Help Desk)
- التواصل مع العملاء والمستخدمين لضمان اغلاق المشكلات وتحقيق اعلي مستوي من رضا المستفيدين
- التنسيق مع الفرق المختصة لتصعيد الحالات الطارية ومتابعتها حتي الحل النهايي
- المساهمة في تطوير مواقع الويب الداخلية وانشاء ادلة ونصايح للمستخدمين"
IT,,"الهدف العام للوظيفة:
- ادارة وتنفيذ وحوكمة انظمة تخطيط موارد الموسسة (ERP) في الشركة، بما يشمل تحليل الاحتياجات، التصميم، التهيية (Configuration)، التكامل مع الانظمة الاخري، التدريب، والدعم المستمر لضمان تحقيق اعلي كفاءة تشغيلية
المسووليات الرييسية:
• دراسة وتحليل العمليات التجارية للشركة واقتراح افضل الحلول عبر نظام ERP
• ادارة مشروع تنفيذ او تطوير نظام ERP (مثل Oracle, SAP, Odoo, Microsoft Dynamics)
• اعداد وتوثيق المتطلبات التقنية والوظيفية للمستخدمين
• الاشراف علي عملية التهيية (Customization) وضمان مطابقتها لاحتياجات العمل
• تصميم وتطوير التقارير ولوحات التحكم (Dashboards) وفق متطلبات الادارة
• ضمان تكامل النظام مع الانظمة الداخلية والخارجية الاخري
• تقديم الدعم الفني والتدريب للمستخدمين النهاييين
• متابعة تحديثات النظام وادارة عمليات الصيانة والتطوير المستمر"
IT,,"'- تطوير وتخصيص قوالب WordPress لتتناسب مع متطلبات التصميم والوظايف
- بناء مواقع كاملة باستخدام واجهات Elementor او WPBakery او بناء مخصص (Custom Theme Development)
- ادارة قواعد البيانات وتحسين اداء الموقع وسرعة التحميل
- رفع المواقع الي الاستضافة وضبط اعدادات النطاق وربطه
- التعاون مع فريق التصميم والمحتوي لضمان تجربة مستخدم متكاملة"
IT,,"'- مطلوب فني دعم تقني وصيانة للعمل لدي شركة صروح التقنيات الحديثة المتخصصة في حلول التقنية وانظمة التيار الخفيف
- مجال العمل: (صيانة الحاسب الالي – الشبكات – كاميرات المراقبة)
- العمل بمدينة الرياض"
IT,,"'- Analyze business requirements and configure Odoo modules to meet company needs
- Provide training and support to end users
- Conduct testing and ensure the quality of business processes within Odoo
- Collaborate with technical teams for system customization and development
- Troubleshoot and resolve functional issues effectively"
IT,,"'- مطلوب فني شبكات وتمديدات لتركيب وتثبيت اجهزة شبكة الحاسب ونظم التشغيل والبرامج
- العمل لدي شركة مقاولات في مكة المكرمة"
