"text","label"
"مطور خلفي كبير يمتلك خبرة 6 سنوات في بايثون وجافا. متخصص في بناء واجهات برمجة تطبيقات RESTful وهندسة الخدمات المصغرة. لديه خبرة في أطر عمل Spring Boot و Django.","IT"
"مطور شامل Stack يجيد JavaScript و React.js و Node.js. يتمتع بخبرة قوية في بناء تطبيقات ويب متجاوبة والعمل مع قواعد بيانات MongoDB.","IT"
"مهندس DevOps لديه خبرة في خدمات السحابة AWS والحاويات Docker وخطوط أنابيب CI/CD. لديه خبرة في أتمتة عمليات النشر وإدارة البنية التحتية.","IT"
"مطور واجهات أمامية متخصص في Vue.js وأطر عمل CSS الحديثة. يركز على إنشاء واجهات مستخدم يمكن الوصول إليها وتتميز بالأداء العالي.","IT"
"عالم بيانات ماهر في Python و R ومكتبات التعلم الآلي. لديه خبرة في النمذجة التنبؤية وتصور البيانات.","IT"
"أخصائي تسويق رقمي لديه 5 سنوات من الخبرة في SEO و SEM والتسويق عبر وسائل التواصل الاجتماعي. لديه سجل حافل في زيادة الحركة العضوية بأكثر من 200٪ لعملاء التجارة الإلكترونية.","Marketing"
"مدير تسويق المحتوى يجيد تطوير استراتيجيات المحتوى التي تحفز المشاركة والتحويلات. لديه خبرة في أدوات أتمتة التسويق ومنصات التحليلات.","Marketing"
"مدير وسائل التواصل الاجتماعي لديه خبرة في تنمية الوجودالعلامة التجارية على منصات مثل Instagram و TikTok و Twitter. يجيد التحليلات وإدارة المجتمع.","Marketing"
"أخصائي الدفع بالنقرة (PPC) يركز على إدارة وتحسين حملات Google Ads و Microsoft Advertising لتعظيم عائد الاستثمار.","Marketing"
"مدير العلامة التجارية لديه خبرة في تطوير هوية العلامة التجارية وتحديد المواقع واستراتيجيات دخول الأسواق للمنتجات B2C.","Marketing"
"محلل مالي معتمد لديه خبرة في النمذجة المالية وتقييم المخاطر وتحليل الاستثمار. يجيد وظائف Excel المتقدمة والبرامج المالية.","Finance"
"محاسب كبير لديه خبرة واسعة في إعداد التقارير المالية والإعداد الضريبي وعمليات التدقيق للعملاء الشركات. يجيد برامج المحاسبة QuickBooks و SAP.","Finance"
"مصرفي استثماري لديه خلفية في عمليات الدمج والاستحواذ وجمع رأس المال والفحص المالي Due Diligence لشركات التكنولوجيا.","Finance"
"محلل إدارة المخاطر يجيد تحديد المخاطر المالية وتحليلها والتخفيف من حدتها للمنظمات الدولية.","Finance"
"مدقق حسابات لديه خبرة في إجراء عمليات التدقيق الداخلية والخارجية، وضمان الامتثال للوائح والمعايير المالية.","Finance"
"مهندس ميكانيكي متخصص في تصميم وتطوير المنتجات. لديه خبرة في برامج CAD واختبار النماذج الأولية.","Engineering"
"مهندس مدني يركز على التحليل الإنشائي وإدارة المشاريع لمشاريع البنية التحتية الكبيرة.","Engineering"
"مهندس كهرباء لديه خبرة في تصميم الدوائر وأنظمة الطاقة وتطوير الأنظمة المضمنة.","Engineering"
"مهندس مشاريع يجيد تنسيق فرق العمل الفنية وإدارة الميزانيات وضمان استيفاء نواتج المشروع وفقًا للجدول الزمني.","Engineering"
"مهندس تصميم تكييف هواء يجيد إنشاء أنظمة التدفئة والتهوية وتكييف الهواء للمباني التجارية.","Engineering"
"ممرض مسجل لديه 5 سنوات من الخبرة في رعاية الطوارئ وتصنيف المرضى. ماهر في تثقيف المرضى والرعاية الحرجة.","Healthcare"
"فني مختبر طبي يجيد إجراء الاختبارات التشخيصية وتحليل سوائل الجسم وتشغيل معدات المختبر.","Healthcare"
"أخصائي علاج طبيعي متخصص في إعادة التأهيل العضوي وتطوير خطط recovery مخصصة للمرضى.","Healthcare"
"صيدلي لديه خبرة في إدارة العلاج الدوائي واستشارات المرضى وضمان بروتوكولات سلامة الدواء.","Healthcare"
"مدير السجلات الطبية يجيد إدارة بيانات المرضى وضمان الامتثال لقانون HIPAA واستخدام أنظمة السجلات الصحية الإلكترونية.","Healthcare"
"Senior backend developer with 6 years of experience in Python and Java. Specialized in building RESTful APIs and microservices architecture. Experienced with Spring Boot and Django frameworks.","IT"
"Full-stack developer proficient in JavaScript, React.js, and Node.js. Strong experience in building responsive web applications and working with MongoDB databases.","IT"
"DevOps engineer with expertise in AWS cloud services, Docker containerization, and CI/CD pipelines. Experienced in automating deployment processes and infrastructure management.","IT"
"Frontend developer specializing in Vue.js and modern CSS frameworks. Focus on creating accessible and performant user interfaces.","IT"
"Data scientist skilled in Python, R, and machine learning libraries. Experience in predictive modeling and data visualization.","IT"
"Digital marketing specialist with 5 years of experience in SEO, SEM, and social media marketing. Proven track record of increasing organic traffic by over 200% for e-commerce clients.","Marketing"
"Content marketing manager skilled in developing content strategies that drive engagement and conversions. Experienced with marketing automation tools and analytics platforms.","Marketing"
"Social media manager with expertise in growing brand presence across platforms like Instagram, TikTok, and Twitter. Proficient in analytics and community management.","Marketing"
"PPC specialist focused on managing and optimizing Google Ads and Microsoft Advertising campaigns to maximize ROI.","Marketing"
"Brand manager experienced in developing brand identity, positioning, and go-to-market strategies for B2C products.","Marketing"
"Certified financial analyst with expertise in financial modeling, risk assessment, and investment analysis. Proficient in advanced Excel functions and financial software.","Finance"
"Senior accountant with extensive experience in financial reporting, tax preparation, and audit processes for corporate clients. Skilled in QuickBooks and SAP accounting software.","Finance"
"Investment banker with a background in mergers & acquisitions, capital raising, and financial due diligence for technology firms.","Finance"
"Risk management analyst proficient in identifying, analyzing, and mitigating financial risks for international organizations.","Finance"
"Auditor with experience in conducting internal and external audits, ensuring compliance with financial regulations and standards.","Finance"
"Mechanical engineer specializing in product design and development. Experienced with CAD software and prototype testing.","Engineering"
"Civil engineer with a focus on structural analysis and project management for large-scale infrastructure projects.","Engineering"
"Electrical engineer experienced in circuit design, power systems, and embedded systems development.","Engineering"
"Project engineer skilled in coordinating technical teams, managing budgets, and ensuring project deliverables are met on schedule.","Engineering"
"HVAC design engineer proficient in creating heating, ventilation, and air conditioning systems for commercial buildings.","Engineering"
"Registered nurse with 5 years of experience in emergency care and patient triage. Skilled in patient education and critical care.","Healthcare"
"Medical laboratory technician proficient in conducting diagnostic tests, analyzing bodily fluids, and operating lab equipment.","Healthcare"
"Physical therapist specializing in orthopedic rehabilitation and developing personalized recovery plans for patients.","Healthcare"
"Pharmacist with experience in medication therapy management, patient counseling, and ensuring drug safety protocols.","Healthcare"
"Medical records administrator skilled in managing patient data, ensuring HIPAA compliance, and utilizing EHR systems.","Healthcare"
"Senior Python Developer with 8 years of experience designing and implementing scalable microservices architectures. Expert in Django, Flask, and cloud deployment on AWS and GCP.","IT"
"مطور بايثون أول يمتلك 8 سنوات من الخبرة في تصميم وتنفيذ هندسة الخدمات المصغرة القابلة للتطويع. خبير في Django و Flask والنشر السحابي على AWS و GCP.","IT"
"Data Engineer skilled in building large-scale data pipelines using Apache Spark, Kafka, and Airflow. Proficient in SQL, NoSQL, and data warehousing solutions.","IT"
"مهندس بيانات ماهر في بناء خطوط أنابيب البيانات واسعة النطاق باستخدام Apache Spark و Kafka و Airflow. يجيد SQL و NoSQL وحلول مستودعات البيانات.","IT"
"Cybersecurity Analyst with 5+ years of experience in vulnerability assessment, penetration testing, and implementing security protocols for enterprise networks.","IT"
"محلل أمن سيبراني يمتلك خبرة تزيد عن 5 سنوات في تقييم الثغرات الأمنية واختبار الاختراق وتنفيذ بروتوكولات الأمان للشبكات المؤسسية.","IT"
"UX/UI Designer passionate about creating intuitive user experiences and beautiful interfaces. Proficient in Figma, Adobe XD, and user research methodologies.","IT"
"مصمم واجهات وتجربة مستخدم شغوف بخلق تجارب مستخدم بديهية وواجهات جميلة. يجيد Figma و Adobe XD ومنهجيات البحث للمستخدم.","IT"
"IT Project Manager with a proven track record of delivering complex software projects on time and within budget using Agile and Scrum methodologies.","IT"
"مدير مشاريع تقنية معلومات لديه سجل حافل في تسليم مشاريع برمجية معقدة في الوقت المحدد وفي حدود الميزانية باستخدام منهجيات Agile و Scrum.","IT"
"DevOps Engineer specializing in CI/CD pipelines, infrastructure as code with Terraform, and container orchestration with Kubernetes on AWS.","IT"
"مهندس DevOps متخصص في خطوط أنابيب CI/CD، البنية التحتية كود باستخدام Terraform، وتنسيق الحاويات مع Kubernetes على AWS.","IT"
"Frontend Developer expert in React, TypeScript, and state management libraries. Focuses on building high-performance, accessible web applications.","IT"
